2017/11/16 15:43:27 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:27 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:27 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:27 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:28 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:28 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:28 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:28 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:29 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:29 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:43:29 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:43:29 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 15:43:29 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 63
2017/11/16 15:43:34 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:43:34 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:43:34 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:46:46 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:47 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:47 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:47 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:47 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:46:48 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 15
2017/11/16 15:46:48 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 15
2017/11/16 15:47:08 ZEBRA: Zebra 0.99.22.4 starting: vty@2601
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/16 15:47:08 ZEBRA: client 16 says hello and bids fair to announce only ospf routes
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_HELLO] 1
2017/11/16 15:47:08 ZEBRA: client 17 says hello and bids fair to announce only ospf6 routes
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_ROUTER_ID_ADD] 0
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_INTERFACE_ADD] 0
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/16 15:47:08 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 19
2017/11/16 15:47:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:48 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:54 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:54 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
